Commentary	Substrate	Ref	Literature(PubmedID)	value
	4-cyanobenzaldehyde	1293	4402936	16.6
	4-Pyridinecarboxaldehyde	1293	4402936	19.3
	4-carboxybenzaldehyde	1293	4402936	21.7
	4-nitrobenzaldehyde	1293	4402936	22.0
	3-Pyridinecarboxaldehyde	1293	4402936	26.8
	3-Pyridinemethanol	1294	4402936	0.07
	glycerol	1294	4402936	0.612
	L-arabitol	1294	4402936	1.77
	(+)-Camphorquinone	1294	4402936	5.6
	D-glucuronate	1294	4402936	11.6
	D-Lactaldehyde	1294	4402936	13.7
	D-glyceraldehyde	1294	4402936	14.4
	4-cyanobenzaldehyde	1294	4402936	16.6
	4-Pyridinecarboxaldehyde	1294	4402936	19.3
	4-carboxybenzaldehyde	1294	4402936	21.7
	4-nitrobenzaldehyde	1294	4402936	22.0
	3-Pyridinecarboxaldehyde	1294	4402936	26.8
	3-Pyridinemethanol	1295	4402936	0.07
	glycerol	1295	4402936	0.612
	L-arabitol	1295	4402936	1.77
	(+)-Camphorquinone	1295	4402936	5.6
	D-glucuronate	1295	4402936	11.6
	D-Lactaldehyde	1295	4402936	13.7
	D-glyceraldehyde	1295	4402936	14.4
	4-cyanobenzaldehyde	1295	4402936	16.6
	4-Pyridinecarboxaldehyde	1295	4402936	19.3
	4-carboxybenzaldehyde	1295	4402936	21.7
	4-nitrobenzaldehyde	1295	4402936	22.0
	3-Pyridinecarboxaldehyde	1295	4402936	26.8
	3-Pyridinemethanol	1296	4402936	0.07
	glycerol	1296	4402936	0.612
	L-arabitol	1296	4402936	1.77
	(+)-Camphorquinone	1296	4402936	5.6
	D-glucuronate	1296	4402936	11.6
	D-Lactaldehyde	1296	4402936	13.7
	D-glyceraldehyde	1296	4402936	14.4
	4-cyanobenzaldehyde	1296	4402936	16.6
	4-Pyridinecarboxaldehyde	1296	4402936	19.3
	4-carboxybenzaldehyde	1296	4402936	21.7
	4-nitrobenzaldehyde	1296	4402936	22.0
	3-Pyridinecarboxaldehyde	1296	4402936	26.8
	3-Pyridinemethanol	1297	4402936	0.07
	glycerol	1297	4402936	0.612
	L-arabitol	1297	4402936	1.77
	(+)-Camphorquinone	1297	4402936	5.6
	D-glucuronate	1297	4402936	11.6
	D-Lactaldehyde	1297	4402936	13.7
	D-glyceraldehyde	1297	4402936	14.4
	4-cyanobenzaldehyde	1297	4402936	16.6
	4-Pyridinecarboxaldehyde	1297	4402936	19.3
	4-carboxybenzaldehyde	1297	4402936	21.7
	4-nitrobenzaldehyde	1297	4402936	22.0
	3-Pyridinecarboxaldehyde	1297	4402936	26.8
	3-Pyridinemethanol	1298	4402936	0.07
	glycerol	1298	4402936	0.612
	L-arabitol	1298	4402936	1.77
	(+)-Camphorquinone	1298	4402936	5.6
	D-glucuronate	1298	4402936	11.6
	D-Lactaldehyde	1298	4402936	13.7
	D-glyceraldehyde	1298	4402936	14.4
	4-cyanobenzaldehyde	1298	4402936	16.6
	4-Pyridinecarboxaldehyde	1298	4402936	19.3
	4-carboxybenzaldehyde	1298	4402936	21.7
	4-nitrobenzaldehyde	1298	4402936	22.0
	3-Pyridinecarboxaldehyde	1298	4402936	26.8
	3-Pyridinemethanol	1299	4402936	0.07
	glycerol	1299	4402936	0.612
	L-arabitol	1299	4402936	1.77
	(+)-Camphorquinone	1299	4402936	5.6
	D-glucuronate	1299	4402936	11.6
	D-Lactaldehyde	1299	4402936	13.7
	D-glyceraldehyde	1299	4402936	14.4
	4-cyanobenzaldehyde	1299	4402936	16.6
	4-Pyridinecarboxaldehyde	1299	4402936	19.3
	4-carboxybenzaldehyde	1299	4402936	21.7
	4-nitrobenzaldehyde	1299	4402936	22.0
	3-Pyridinecarboxaldehyde	1299	4402936	26.8
	3-Pyridinemethanol	1300	4402936	0.07
	glycerol	1300	4402936	0.612
	L-arabitol	1300	4402936	1.77
	(+)-Camphorquinone	1300	4402936	5.6
	D-glucuronate	1300	4402936	11.6
	D-Lactaldehyde	1300	4402936	13.7
	D-glyceraldehyde	1300	4402936	14.4
	4-cyanobenzaldehyde	1300	4402936	16.6
	4-Pyridinecarboxaldehyde	1300	4402936	19.3
	4-carboxybenzaldehyde	1300	4402936	21.7
	4-nitrobenzaldehyde	1300	4402936	22.0
	3-Pyridinecarboxaldehyde	1300	4402936	26.8
; in 30 mM Tris-HCl (pH 8.0)	Pentanol	1308	19411329	13.15
; in 30 mM Tris-HCl (pH 8.0)	butanol	1308	19411329	17.05
; in 30 mM Tris-HCl (pH 8.0)	ethanol	1308	19411329	27.35
; in 30 mM Tris-HCl (pH 8.0)	cinnamyl alcohol	1308	19411329	60.78
; in 30 mM Tris-HCl (pH 8.0)	cinnamaldehyde	1308	19411329	107.9
	Butanal	1308	19411329	156.0
in 30 mM Tris-HCl (pH 8.0)	Butanal	1308	19411329	156.6
; in 30 mM Tris-HCl (pH 8.0)	acetaldehyde	1308	19411329	157.6
	pentanal	1308	19411329	159.0
in 30 mM Tris-HCl (pH 8.0)	pentanal	1308	19411329	159.1
; in 30 mM Tris-HCl (pH 8.0)	Pentanol	1309	19411329	13.15
; in 30 mM Tris-HCl (pH 8.0)	butanol	1309	19411329	17.05
; in 30 mM Tris-HCl (pH 8.0)	ethanol	1309	19411329	27.35
; in 30 mM Tris-HCl (pH 8.0)	cinnamyl alcohol	1309	19411329	60.78
; in 30 mM Tris-HCl (pH 8.0)	cinnamaldehyde	1309	19411329	107.9
	Butanal	1309	19411329	156.0
in 30 mM Tris-HCl (pH 8.0)	Butanal	1309	19411329	156.6
